n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,tau_obs,anchor,dist
3,0.0002,True,0.2527779610977931,0.6802405125996394,0.7080000000000016,0,0.2527779610977931,0.261,True,False,gated,0.005,0.6184937238493724,0.1184937238493724
3,0.0002,True,0.2495684829500286,0.6861464711122809,0.726,0,0.2495684829500286,0.299,True,False,gated,0.005,0.6225104602510461,0.122510460251046
3,0.0002,True,0.2498489098429174,0.6872160076902708,0.7280000000000177,0,0.2498489098429174,0.271,True,False,gated,0.005,0.6265271966527197,0.1265271966527197
3,0.0002,True,0.1251599945388398,0.98172305965229,0.607010002073302,0,0.2480324473245553,0.275,True,False,gated,0.005,0.6305439330543934,0.1305439330543933
3,0.0002,True,0.2490696605884269,0.6954877697485051,0.7570000000000007,0,0.2490696605884269,0.257,True,False,gated,0.005,0.634560669456067,0.134560669456067
3,0.0002,True,0.2465904454021726,0.6755198874505878,0.7350000000002335,0,0.2465904454021726,0.2189999999999999,True,False,gated,0.005,0.6385774058577407,0.1385774058577407
3,0.0002,True,0.1250089863030233,0.98544896259645,0.6390961944045714,0,0.2481989621715569,0.243,True,False,gated,0.005,0.6425941422594142,0.1425941422594142
3,0.0002,True,0.1255614839144423,0.985414801853517,0.6822684075752672,0,0.2492916287074115,0.2249999999999999,True,False,gated,0.005,0.6466108786610879,0.1466108786610879
3,0.0002,True,0.1256498025763577,0.9838058430588844,0.6461979349212503,0,0.2492648125311575,0.2289999999999999,True,False,gated,0.005,0.6506276150627616,0.1506276150627615
3,0.0002,True,0.1241083770090615,0.9955149201245506,0.5701950597191473,0,0.2476601180350205,0.2239999999999999,True,False,gated,0.005,0.6546443514644352,0.1546443514644352
3,0.0002,True,0.1261852280913481,0.9832781281196856,0.5573220571894448,0,0.2502604029663478,0.183,True,False,gated,0.005,0.6586610878661089,0.1586610878661088
3,0.0002,True,0.1281789922584374,0.9315466614432444,0.4637515053134526,0,0.2475837045648759,0.2169999999999999,True,False,gated,0.005,0.6626778242677824,0.1626778242677824
3,0.0002,True,0.1271892496783956,0.94900051549313,0.7188226762771339,0,0.2478919131893264,0.2109999999999999,True,False,gated,0.005,0.6666945606694561,0.1666945606694561
3,0.0002,True,0.0140322282483184,1.2630190425547516,0.6789574007181447,0,0.2492765505029661,0.1949999999999999,True,False,gated,0.005,0.6707112970711298,0.1707112970711297
3,0.0002,True,0.1233063644578233,0.991784606891954,0.679226456191836,0,0.2455997186598935,0.1939999999999999,True,False,gated,0.005,0.6747280334728034,0.1747280334728034
3,0.0002,True,0.0114428631804221,1.302370973897964,0.5063834140675356,1,0.2463026597610237,0.2049999999999999,True,False,gated,0.005,0.6787447698744771,0.178744769874477
3,0.0002,True,0.1270349884710893,0.9505448474997914,0.626168418063983,0,0.2477874422154293,0.1879999999999999,True,False,gated,0.005,0.6827615062761507,0.1827615062761507
3,0.0002,True,0.1250200101585557,0.9555787189305972,0.6576912105126212,0,0.2444864713075143,0.166,True,False,gated,0.005,0.6867782426778243,0.1867782426778242
3,0.0002,True,0.0115486832397273,1.2637855547704289,0.7377376812054566,0,0.2462273612286746,0.159,True,False,gated,0.005,0.6907949790794979,0.1907949790794979
3,0.0002,True,0.1230577419123098,0.9886393393438502,0.5953065751492093,0,0.2447174665786304,0.166,True,False,gated,0.005,0.6948117154811716,0.1948117154811716
3,0.0002,True,0.0056725527580202,1.322253321656614,0.5335301748559271,0,0.2452255716797228,0.153,True,False,gated,0.005,0.6988284518828453,0.1988284518828452
3,0.0002,True,0.1257536408558153,0.9563030915027744,0.6749916487378157,0,0.2460122363749174,0.153,True,False,gated,0.005,0.7028451882845189,0.2028451882845189
3,0.0002,True,0.0061472966536915,1.3565144600255412,0.6824645829240115,0,0.2446833382476688,0.162,True,False,gated,0.005,0.7068619246861926,0.2068619246861925
3,0.0002,True,0.125131292647497,0.948872695936974,0.7063218165858318,0,0.2438649596489548,0.142,True,False,gated,0.005,0.7108786610878661,0.2108786610878661
