D,strategy,model,anchor,dist,flag,p_min,pi_true_max,n_tests
2,iso_coord,gated,0.3984848484848484,0.1015151515151515,True,0.0002,0.301,3
2,iso_coord,gated,0.4015151515151515,0.0984848484848485,True,0.0002,0.307,3
2,iso_coord,gated,0.4045454545454545,0.0954545454545454,True,0.0002,0.336,3
2,iso_coord,gated,0.4075757575757576,0.0924242424242424,True,0.0002,0.319,3
2,iso_coord,gated,0.4106060606060606,0.0893939393939394,True,0.0002,0.34,3
2,iso_coord,gated,0.4136363636363636,0.0863636363636363,True,0.0002,0.367,3
2,iso_coord,gated,0.4166666666666666,0.0833333333333333,True,0.0002,0.325,3
2,iso_coord,gated,0.4196969696969697,0.0803030303030303,True,0.0002,0.329,3
2,iso_coord,gated,0.4227272727272727,0.0772727272727272,True,0.0002,0.332,3
2,iso_coord,gated,0.4257575757575758,0.0742424242424242,True,0.0002,0.37,3
2,iso_coord,gated,0.4287878787878788,0.0712121212121212,True,0.0002,0.349,3
2,iso_coord,gated,0.4318181818181818,0.0681818181818181,True,0.0002,0.367,3
2,iso_coord,gated,0.4348484848484848,0.0651515151515151,True,0.0002,0.358,3
2,iso_coord,gated,0.4378787878787878,0.0621212121212121,True,0.0002,0.388,3
2,iso_coord,gated,0.4409090909090909,0.059090909090909,True,0.0002,0.396,3
2,iso_coord,gated,0.4439393939393939,0.056060606060606,True,0.0002,0.385,3
2,iso_coord,gated,0.4469696969696969,0.053030303030303,True,0.0002,0.419,3
2,iso_coord,gated,0.45,0.0499999999999999,True,0.0002,0.401,3
2,iso_coord,gated,0.453030303030303,0.0469696969696969,True,0.0002,0.391,3
2,iso_coord,gated,0.456060606060606,0.0439393939393939,True,0.0002,0.408,3
2,iso_coord,gated,0.4590909090909091,0.0409090909090908,True,0.0002,0.428,3
2,iso_coord,gated,0.4621212121212121,0.0378787878787879,True,0.0002,0.421,3
2,iso_coord,gated,0.4651515151515151,0.0348484848484848,True,0.0002,0.434,3
2,iso_coord,gated,0.4681818181818181,0.0318181818181818,True,0.0002,0.45,3
2,iso_coord,gated,0.4712121212121212,0.0287878787878788,True,0.0002,0.436,3
2,iso_coord,gated,0.4742424242424242,0.0257575757575757,True,0.0002,0.42,3
2,iso_coord,gated,0.4772727272727273,0.0227272727272727,True,0.0002,0.446,3
2,iso_coord,gated,0.4803030303030303,0.0196969696969697,True,0.0002,0.46,3
2,iso_coord,gated,0.4833333333333333,0.0166666666666666,True,0.0002,0.465,3
2,iso_coord,gated,0.4863636363636363,0.0136363636363636,True,0.0002,0.455,3
2,iso_coord,gated,0.4893939393939394,0.0106060606060606,True,0.0002,0.484,3
2,iso_coord,gated,0.4924242424242424,0.0075757575757575,True,0.0002,0.499,3
2,iso_coord,gated,0.4954545454545455,0.0045454545454545,True,0.0002,0.493,3
2,iso_coord,gated,0.4984848484848485,0.0015151515151515,True,0.0002,0.49,3
2,iso_coord,gated,0.5015151515151515,0.0015151515151514,True,0.0002,0.487,3
2,iso_coord,gated,0.5045454545454545,0.0045454545454545,True,0.0002,0.494,3
2,iso_coord,gated,0.5075757575757576,0.0075757575757575,True,0.0002,0.49,3
2,iso_coord,gated,0.5106060606060606,0.0106060606060606,True,0.0002,0.492,3
2,iso_coord,gated,0.5136363636363637,0.0136363636363636,True,0.0002,0.491,3
2,iso_coord,gated,0.5166666666666666,0.0166666666666666,True,0.0002,0.4509999999999999,3
2,iso_coord,gated,0.5196969696969698,0.0196969696969697,True,0.0002,0.4679999999999999,3
2,iso_coord,gated,0.5227272727272727,0.0227272727272727,True,0.0002,0.4579999999999999,3
2,iso_coord,gated,0.5257575757575758,0.0257575757575757,True,0.0002,0.4669999999999999,3
2,iso_coord,gated,0.5287878787878788,0.0287878787878788,True,0.0002,0.4549999999999999,3
2,iso_coord,gated,0.5318181818181819,0.0318181818181818,True,0.0002,0.426,3
2,iso_coord,gated,0.5348484848484849,0.0348484848484849,True,0.0002,0.4419999999999999,3
2,iso_coord,gated,0.5378787878787878,0.0378787878787878,True,0.0002,0.433,3
2,iso_coord,gated,0.5409090909090909,0.0409090909090908,True,0.0002,0.428,3
2,iso_coord,gated,0.543939393939394,0.0439393939393939,True,0.0002,0.422,3
2,iso_coord,gated,0.546969696969697,0.0469696969696969,True,0.0002,0.415,3
2,iso_coord,gated,0.55,0.05,True,0.0002,0.389,3
2,iso_coord,gated,0.553030303030303,0.0530303030303029,True,0.0002,0.365,3
2,iso_coord,gated,0.556060606060606,0.056060606060606,True,0.0002,0.365,3
2,iso_coord,gated,0.5590909090909091,0.059090909090909,True,0.0002,0.384,3
2,iso_coord,gated,0.5621212121212121,0.0621212121212121,True,0.0002,0.394,3
2,iso_coord,gated,0.5651515151515152,0.0651515151515151,True,0.0002,0.375,3
2,iso_coord,gated,0.5681818181818181,0.0681818181818181,True,0.0002,0.3419999999999999,3
2,iso_coord,gated,0.5712121212121213,0.0712121212121212,True,0.0002,0.351,3
2,iso_coord,gated,0.5742424242424242,0.0742424242424242,True,0.0002,0.381,3
2,iso_coord,gated,0.5772727272727273,0.0772727272727272,True,0.0002,0.35,3
2,iso_coord,gated,0.5803030303030303,0.0803030303030303,True,0.0002,0.344,3
2,iso_coord,gated,0.5833333333333334,0.0833333333333333,True,0.0002,0.382,3
2,iso_coord,gated,0.5863636363636364,0.0863636363636364,True,0.0002,0.3279999999999999,3
2,iso_coord,gated,0.5893939393939394,0.0893939393939393,True,0.0002,0.3339999999999999,3
2,iso_coord,gated,0.5924242424242424,0.0924242424242424,True,0.0002,0.357,3
2,iso_coord,gated,0.5954545454545455,0.0954545454545454,True,0.0002,0.3299999999999999,3
2,iso_coord,gated,0.5984848484848485,0.0984848484848485,True,0.0002,0.303,3
2,iso_coord,gated,0.6015151515151516,0.1015151515151515,True,0.0002,0.3129999999999999,3
2,iso_coord,gated,0.6045454545454545,0.1045454545454545,True,0.0002,0.3219999999999999,3
2,iso_coord,gated,0.6075757575757577,0.1075757575757576,True,0.0002,0.291,3
2,iso_coord,gated,0.6106060606060606,0.1106060606060606,True,0.0002,0.283,3
2,iso_coord,gated,0.6136363636363636,0.1136363636363636,True,0.0002,0.259,3
2,iso_coord,gated,0.6166666666666667,0.1166666666666667,True,0.0002,0.277,3
2,iso_coord,gated,0.6196969696969696,0.1196969696969696,True,0.0002,0.286,3
2,iso_coord,gated,0.6227272727272728,0.1227272727272728,True,0.0002,0.272,3
2,iso_coord,gated,0.6257575757575757,0.1257575757575757,True,0.0002,0.264,3
2,iso_coord,gated,0.6287878787878788,0.1287878787878787,True,0.0002,0.264,3
2,iso_coord,gated,0.6318181818181818,0.1318181818181818,True,0.0002,0.245,3
2,iso_coord,gated,0.6348484848484849,0.1348484848484848,True,0.0002,0.243,3
2,iso_coord,gated,0.6378787878787879,0.1378787878787879,True,0.0002,0.241,3
2,iso_coord,gated,0.6409090909090909,0.1409090909090908,True,0.0002,0.2239999999999999,3
2,iso_coord,gated,0.643939393939394,0.143939393939394,True,0.0002,0.236,3
2,iso_coord,gated,0.646969696969697,0.1469696969696969,True,0.0002,0.242,3
2,iso_coord,gated,0.65,0.15,True,0.0002,0.2239999999999999,3
2,iso_coord,honest,0.35,0.15,False,0.5974,0.213,3
2,iso_coord,honest,0.353030303030303,0.1469696969696969,False,0.9526,0.208,3
2,iso_coord,honest,0.356060606060606,0.1439393939393939,False,0.2814,0.227,3
2,iso_coord,honest,0.359090909090909,0.1409090909090909,False,0.9956,0.229,3
2,iso_coord,honest,0.3621212121212121,0.1378787878787878,False,0.5408,0.225,3
2,iso_coord,honest,0.3651515151515151,0.1348484848484848,False,0.9566,0.248,3
2,iso_coord,honest,0.3681818181818181,0.1318181818181818,False,0.7868,0.253,3
2,iso_coord,honest,0.3712121212121212,0.1287878787878787,False,0.9726,0.286,3
2,iso_coord,honest,0.3742424242424242,0.1257575757575758,False,0.9726,0.271,3
2,iso_coord,honest,0.3772727272727272,0.1227272727272727,False,0.955,0.271,3
2,iso_coord,honest,0.3803030303030303,0.1196969696969696,False,0.861,0.282,3
2,iso_coord,honest,0.3833333333333333,0.1166666666666667,False,0.657,0.258,3
2,iso_coord,honest,0.3863636363636363,0.1136363636363636,False,0.7164,0.28,3
2,iso_coord,honest,0.3893939393939394,0.1106060606060606,False,0.9128,0.286,3
2,iso_coord,honest,0.3924242424242424,0.1075757575757576,False,0.9504,0.291,3
2,iso_coord,honest,0.3954545454545454,0.1045454545454545,False,0.928,0.294,3
2,iso_coord,honest,0.3984848484848484,0.1015151515151515,False,0.8478,0.266,3
2,iso_coord,honest,0.4015151515151515,0.0984848484848485,False,0.799,0.312,3
2,iso_coord,honest,0.4045454545454545,0.0954545454545454,False,0.9374,0.319,3
2,iso_coord,honest,0.4075757575757576,0.0924242424242424,False,0.988,0.33,3
2,iso_coord,honest,0.4106060606060606,0.0893939393939394,False,0.9936,0.297,3
2,iso_coord,honest,0.4136363636363636,0.0863636363636363,False,0.687,0.349,3
2,iso_coord,honest,0.4166666666666666,0.0833333333333333,False,0.8514,0.347,3
2,iso_coord,honest,0.4196969696969697,0.0803030303030303,False,0.9554,0.344,3
2,iso_coord,honest,0.4227272727272727,0.0772727272727272,False,0.9226,0.339,3
2,iso_coord,honest,0.4257575757575758,0.0742424242424242,False,0.9726,0.356,3
2,iso_coord,honest,0.4287878787878788,0.0712121212121212,False,0.8818,0.367,3
2,iso_coord,honest,0.4318181818181818,0.0681818181818181,False,0.9562,0.336,3
2,iso_coord,honest,0.4348484848484848,0.0651515151515151,False,0.9454,0.371,3
2,iso_coord,honest,0.4378787878787878,0.0621212121212121,False,0.8476,0.374,3
2,iso_coord,honest,0.4409090909090909,0.059090909090909,False,0.9974,0.395,3
2,iso_coord,honest,0.4439393939393939,0.056060606060606,False,0.813,0.377,3
2,iso_coord,honest,0.4469696969696969,0.053030303030303,False,0.9128,0.424,3
2,iso_coord,honest,0.45,0.0499999999999999,False,0.9264,0.414,3
