anchor,region,p_min,sstar,k_true,k_hat,n_scales_signal,gap1,gap2,beta_loc,levels
0.612751677852349,1,0.0002,0.09,2,2,1,0.4791964523809936,,-0.2030715061736888,-0.5190;-0.0398
0.6191946308724833,1,0.0002,0.09,2,2,1,0.4761194369096386,,-0.2123808922611356,-0.5074;-0.0313
0.6256375838926175,1,0.0002,0.09,2,2,1,0.4811088440610698,,-1.2016680251419831,0.1092;0.5903
0.6320805369127517,1,0.0002,0.09,2,2,1,0.478191478993383,,-2.0987873035358,0.6858;1.1640
0.6385234899328859,1,0.0002,0.02,2,2,1,0.4959722140026851,,-3.280403124202546,1.4455;1.9415
0.6449664429530201,1,0.0002,0.02,2,2,1,0.4924625957739342,,-5.308175248439385,2.7770;3.2694
0.6514093959731544,1,0.0002,0.02,2,2,1,0.4933481801057531,,-7.463062370413927,4.2160;4.7093
0.6578523489932886,1,0.0002,0.02,2,2,1,0.4937784481728902,,-8.45031405826573,4.9119;5.4057
0.6642953020134228,1,0.0002,0.02,2,2,1,0.4942567438858014,,-9.643735174148942,5.7586;6.2528
0.670738255033557,2,0.0002,0.02,2,2,1,0.4980342126010961,,-9.689120556934313,5.8497;6.3478
0.6771812080536913,2,0.0002,0.02,2,2,1,0.4976948828981891,,-8.868064430864735,5.3565;5.8542
0.6836241610738255,2,0.0002,0.02,2,2,1,0.4943759796666777,,-7.381244341656175,4.4001;4.8944
0.6900671140939597,2,0.0002,0.02,2,2,1,0.4956600401122731,,-4.956263620792925,2.7738;3.2695
0.6965100671140939,2,0.0002,0.09,2,2,1,0.477150003946658,,-3.166348111871629,1.5682;2.0454
0.7029530201342282,2,0.0002,0.09,2,2,1,0.4775497727057202,,-2.096916338220563,0.8368;1.3143
0.7093959731543624,2,0.0002,0.09,2,2,1,0.4755333836004227,,-0.9699415274726864,0.0511;0.5266
0.7158389261744966,2,0.0002,0.09,2,2,1,0.4779851751865428,,-0.3601221304398842,-0.3788;0.0992
0.7222818791946308,2,0.0002,0.09,2,2,1,0.4781588764750261,,-0.2796861572138523,-0.4336;0.0446
0.7287248322147651,2,0.0002,0.09,2,2,1,0.4788943782029484,,0.0993619127567747,-0.7073;-0.2284
0.7351677852348993,2,0.0002,0.09,2,2,1,0.4785964599773946,,0.1523691822862148,-0.7471;-0.2685
0.7416107382550335,2,0.0002,0.09,2,2,1,0.4753084739227826,,0.1486293297652944,-0.7442;-0.2689
0.7480536912751677,2,0.0002,0.09,2,2,1,0.473982680958776,,0.1065524329592313,-0.7131;-0.2391
0.754496644295302,2,0.0002,0.09,2,2,1,0.4741488277856666,,0.1901226725908425,-0.7755;-0.3013
0.7609395973154363,2,0.0002,0.09,2,2,1,0.4787816665147442,,0.1673222228514768,-0.7600;-0.2812
0.7673825503355705,2,0.0002,0.09,2,2,1,0.4746348415985871,,0.1724547657775605,-0.7645;-0.2898
0.7738255033557047,2,0.0002,0.09,2,2,1,0.4730334596818043,,0.1396073306799239,-0.7383;-0.2653
0.780268456375839,2,0.0002,0.09,2,2,1,0.4744503903276742,,0.1474874357221956,-0.7460;-0.2715
0.7867114093959732,2,0.0002,0.09,2,2,1,0.4756959100811958,,0.1543022400057972,-0.7508;-0.2751
0.7931543624161074,2,0.0002,0.09,2,2,1,0.4742162747423216,,0.2128926958734546,-0.7987;-0.3245
0.7995973154362416,2,0.0002,0.09,2,2,1,0.4748419034184423,,0.1029394290557974,-0.7106;-0.2358
