theta_deg,dt_ratio,rep,N,axis_true,thr_perm,null_max_med,obs_max_med,fire_perm,fire_boot,ucb_med,correct_axis,t_hat_med,t_err_med,ci_coverage,ci_width_med,n_pool,fire_equiv_5,fire_equiv_10,fire_equiv_15
0.0,5.0,0,100,18,0.9988802582765566,0.7487341527657613,0.9999948855113254,1.0,1.0,0.8082924254181741,1.0,4.994232134222671,0.0074273491956411,0.9833333333333332,0.0587256925456691,220,1.0,1.0,1.0
0.0,5.0,0,200,18,0.9996174324674548,0.8602267739555952,0.9999994778675922,1.0,1.0,0.5155555000737565,1.0,4.992862110935622,0.0071378890643778,1.0,0.040859411140647,220,1.0,1.0,1.0
0.0,5.0,1,25,15,0.9951880461309836,0.6415266581506506,0.9999613648252448,1.0,1.0,1.6130171067335888,1.0,4.977931101289116,0.0266759394454427,0.8666666666666667,0.1096196088902039,220,1.0,1.0,1.0
0.0,5.0,1,50,15,0.9961337310893708,0.678078068656127,0.9999857703382492,1.0,1.0,1.181274500475555,1.0,4.983373654178485,0.0171768881523184,0.8833333333333333,0.0788328558419926,220,1.0,1.0,1.0
0.0,5.0,1,100,15,0.9729701234651744,0.4818252555017528,0.9999928632742852,1.0,1.0,0.8614265124606568,1.0,4.973998768945465,0.026001231054535,0.5166666666666667,0.0550965958959746,220,1.0,1.0,1.0
0.0,5.0,1,200,15,0.977591788211046,0.5108034490097418,0.9999959739590132,1.0,1.0,0.6012623470890179,1.0,4.976514043377634,0.0234859566223666,0.1833333333333333,0.0392271007150681,220,1.0,1.0,1.0
0.0,5.0,2,25,7,0.998913533740428,0.7369944022979436,0.9999640741721564,1.0,1.0,1.82473857135006,1.0,4.976352121257291,0.0255051813896391,0.8166666666666667,0.109051651700208,220,1.0,1.0,1.0
0.0,5.0,2,50,7,0.9981277420506948,0.8063014925640161,0.9999851878816148,1.0,1.0,1.2420749552688757,1.0,4.981010309801123,0.0189896901988775,0.9166666666666666,0.0775949233745434,220,1.0,1.0,1.0
0.0,5.0,2,100,7,0.9923713359088864,0.8337394025592866,0.9999913239611667,1.0,1.0,0.8926494820660309,1.0,4.979095602587979,0.0209043974120208,0.7666666666666667,0.055071378790116,220,1.0,1.0,1.0
0.0,5.0,2,200,7,0.9983914063690156,0.8863566891205914,0.9999990433522552,1.0,1.0,0.5668970801303944,1.0,4.976198453714683,0.0238015462853171,0.1,0.0389862565502361,220,1.0,1.0,1.0
0.0,5.0,3,25,15,0.9995184282067988,0.9467403792902978,0.999955265443916,0.98,1.0,1.7541440027592885,1.0,4.985540089107701,0.019872570790604,0.95,0.1142674033689639,220,1.0,1.0,1.0
0.0,5.0,3,50,15,0.999728060236734,0.9561056402238016,0.9999817545510028,1.0,1.0,1.3396186040415832,1.0,4.979224005027971,0.021401897675576,0.8,0.0811287778425153,220,1.0,1.0,1.0
0.0,5.0,3,100,15,0.9997531454947444,0.9837828513995516,0.9999959811744564,1.0,1.0,0.8595635838876623,1.0,4.983655510751086,0.0163444892489144,0.9,0.0574132086388132,220,1.0,1.0,1.0
0.0,5.0,3,200,15,0.9999623212722586,0.9931736692405148,0.9999995959957532,1.0,1.0,0.546496548175307,1.0,4.98413277936718,0.0158672206328209,0.9333333333333332,0.0411277966943339,220,1.0,1.0,1.0
0.0,5.0,4,25,19,0.9824946246626513,0.5321420700364965,0.9999546136594948,1.0,1.0,1.7818883690686973,1.0,4.984657029769215,0.0212810567522296,0.8833333333333333,0.1031305542142537,220,1.0,1.0,1.0
