kappa,surface,anchor,sigma_top,n_estimable,n_fire,alpha,fire_top,fire_mid,fire_deep,pi_top,pi_deep,gap_top,gap_deep,dos_top,dos_deep
0.78,gated_dt1.95,37,0.1999220442249576,1,1,,False,True,False,0.4374148448370897,0.43661364894315,0.0257253108743812,0.0170765088107007,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,38,0.1999220442249576,1,1,,True,False,False,0.110640601074734,0.3082875024310801,0.0328852296626003,0.0123826647254211,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,39,0.1999220442249576,0,0,,False,False,False,0.2240066686345871,0.3223809604929366,0.019994601489767,0.0146696209983184,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,40,0.1999220442249576,0,0,,False,False,False,0.4953276255467556,0.3920775030088397,0.0209037541090516,0.022719571385484,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,41,0.1999220442249576,0,0,,False,False,False,0.499462624564687,0.3226959995143831,0.0001100491395883,0.0167422283165521,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,42,0.1999220442249576,1,1,,True,False,False,0.3532448599279888,0.492425998861964,0.0276226446051439,0.0246251821448624,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,43,0.1999220442249576,0,0,,False,False,False,0.1448757403611289,0.4716805201472313,0.0167011423760361,0.0199063611478809,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,44,0.1999220442249576,0,0,,False,False,False,0.2177656068493191,0.3811912128577461,0.0221182709666771,0.0156176100306172,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,45,0.1999220442249576,0,0,,False,False,False,0.4892630455281831,0.1701894971237145,0.0020474471731755,0.0192526055603737,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,46,0.1999220442249576,0,0,,False,False,False,0.2452491554443839,0.318637637439927,0.0264121740430905,0.0180183020712305,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,47,0.1999220442249576,0,0,,False,False,False,0.3844953680681531,0.4452261265366526,0.0183471332238931,0.0207807056767902,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,48,0.1999220442249576,2,2,0.3714436169511789,True,False,True,0.0852418788193804,0.2173873713229819,0.0438939618460194,0.0262284992074034,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,49,0.1999220442249576,0,0,,False,False,False,0.2860656610867458,0.4153447108122406,0.0256967864149963,0.010280272087398,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,50,0.1999220442249576,1,1,,True,False,False,0.1643505337769725,0.2533804219313115,0.0343712269132081,0.0116089444111454,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,51,0.1999220442249576,0,0,,False,False,False,0.239086458842253,0.3846903441223205,0.0216527016167284,0.0226851675761436,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,52,0.1999220442249576,0,0,,False,False,False,0.3185812640723808,0.2620819735788753,0.0229526211598143,0.0135568315455997,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,53,0.1999220442249576,1,1,,True,False,False,0.2726785371050692,0.2798394710000322,0.0307264889504607,0.0200401051527141,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,54,0.1999220442249576,0,0,,False,False,False,0.4929890037062227,0.2699461297028019,0.0148703894657037,0.0145580479837893,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,55,0.1999220442249576,0,0,,False,False,False,0.2430048755344642,0.4266344067811446,0.025713175793794,0.0122877994820465,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,56,0.1999220442249576,0,0,,False,False,False,0.4267434017816564,0.4251628107477361,0.0147844950066623,0.0149372892410672,1.282051282051282,5.128205128205128
