sigma,dip_p,delta_hat,pi_cross,d_hat,pi_true,w_min,model,tau_obs,anchor,d_true,side
0.0632455532033676,0.0,0.2845031151287271,0.368,0.021323559359890307,0.387,0.36800000000000105,gated,0.005,0.5196153846153846,0.019615384615384618,1
0.2,0.0,0.2502937728366429,0.44399999997602024,0.028167074091566935,0.43600000000000005,0.4439999999760213,gated,0.005,0.5196153846153846,0.019615384615384618,1
0.02,0.0,0.29418239102229254,0.147,0.020987741693682095,0.148,0.147000000000001,gated,0.005,0.47794871794871796,0.022051282051282053,-1
0.0632455532033676,0.0,0.2848116223890079,0.363,0.02216448907619334,0.351,0.36300000000000104,gated,0.005,0.47794871794871796,0.022051282051282053,-1
0.2,0.0,0.25017683760393666,0.447000000000001,0.026648904722224268,0.473,0.44700000000000206,gated,0.005,0.47794871794871796,0.022051282051282053,-1
0.02,0.0,0.2944640388138431,0.144,0.021250386045417336,0.13,0.144000000000001,gated,0.005,0.522051282051282,0.022051282051282053,1
0.0632455532033676,0.0,0.2839558533388975,0.361,0.02250195284976532,0.34199999999999997,0.36100000000000104,gated,0.005,0.522051282051282,0.022051282051282053,1
0.2,0.0,0.2525323974362892,0.448,0.02614319362397264,0.46499999999999997,0.448000000000001,gated,0.005,0.522051282051282,0.022051282051282053,1
0.02,0.0,0.294092801563763,0.085,0.027444076179974523,0.083,0.08500000000000099,gated,0.005,0.4755128205128205,0.02448717948717949,-1
0.0632455532033676,0.0,0.2851332692714655,0.346,0.02505424358413899,0.345,0.34600000000000103,gated,0.005,0.4755128205128205,0.02448717948717949,-1
0.2,0.0,0.25465084604828103,0.437,0.0317159459507687,0.445,0.437000000000001,gated,0.005,0.4755128205128205,0.02448717948717949,-1
0.02,0.0,0.29386450128472935,0.099,0.02574541126215882,0.119,0.09900000000000099,gated,0.005,0.5244871794871795,0.02448717948717949,1
0.0632455532033676,0.0,0.2847073056641281,0.342,0.025741628029133528,0.346,0.342000000000001,gated,0.005,0.5244871794871795,0.02448717948717949,1
0.2,0.0,0.25241577181136193,0.441,0.029686868210897957,0.46599999999999997,0.441000000000001,gated,0.005,0.5244871794871795,0.02448717948717949,1
0.02,0.0,0.2928351370388755,0.098,0.025860639522884844,0.093,0.09800000000000099,gated,0.005,0.47307692307692306,0.026923076923076925,-1
0.0632455532033676,0.0,0.28438699428775716,0.312,0.031002289134162163,0.332,0.312000000000001,gated,0.005,0.47307692307692306,0.026923076923076925,-1
0.2,0.0,0.2515746915517657,0.422,0.039355924043693355,0.445,0.42200000000000104,gated,0.005,0.47307692307692306,0.026923076923076925,-1
0.02,0.0,0.2952725279465465,0.075,0.02879062941876913,0.09099999999999997,0.075000000000001,gated,0.005,0.5269230769230769,0.026923076923076925,1
0.0632455532033676,0.0,0.2833680121262915,0.359,0.022840058487336206,0.32299999999999995,0.35900000000000104,gated,0.005,0.5269230769230769,0.026923076923076925,1
0.2,0.0,0.25375935881606243,0.4469999999998425,0.02664890472230443,0.44499999999999995,0.4469999999998436,gated,0.005,0.5269230769230769,0.026923076923076925,1
0.02,0.0,0.29439005811971997,0.065,0.030282037752385672,0.075,0.065000000000001,gated,0.005,0.4706410256410256,0.02935897435897436,-1
0.0632455532033676,0.0,0.28493963862697114,0.306,0.03207945127499894,0.337,0.30600000000000105,gated,0.005,0.4706410256410256,0.02935897435897436,-1
0.2,0.0,0.25201824695000735,0.42700000000012267,0.036803430232333366,0.436,0.4270000000001237,gated,0.005,0.4706410256410256,0.02935897435897436,-1
0.02,0.0,0.2930586107440091,0.068,0.02981706710493322,0.08399999999999996,0.06800000000000099,gated,0.005,0.5293589743589744,0.02935897435897436,1
0.0632455532033676,0.0,0.2853225577432644,0.338,0.026432066793731755,0.31100000000000005,0.338000000000001,gated,0.005,0.5293589743589744,0.02935897435897436,1
0.2,0.0,0.2515478470216284,0.423,0.03884492551977668,0.43799999999999994,0.42300000000000104,gated,0.005,0.5293589743589744,0.02935897435897436,1
0.02,0.00028445687150280285,0.29273799971358305,0.057,0.03160933636798724,0.054,0.057000000000001,gated,0.005,0.4682051282051282,0.031794871794871796,-1
0.0632455532033676,0.0,0.2847719991752875,0.315,0.03046708109490172,0.314,0.315000000000001,gated,0.005,0.4682051282051282,0.031794871794871796,-1
0.2,0.0,0.25351871964566663,0.439,0.03070101207561142,0.451,0.439000000000001,gated,0.005,0.4682051282051282,0.031794871794871796,-1
0.02,0.0003155866371465921,0.2940696073525659,0.054,0.03214495783800436,0.05300000000000005,0.054000000000001,gated,0.005,0.5317948717948718,0.031794871794871796,1
0.0632455532033676,0.0,0.28472694317546343,0.319,0.02975684101565511,0.34299999999999997,0.319000000000001,gated,0.005,0.5317948717948718,0.031794871794871796,1
0.2,0.0,0.253613355375723,0.4719999999999432,0.014048662764411884,0.42000000000000004,0.47199999999994424,gated,0.005,0.5317948717948718,0.031794871794871796,1
0.02,0.0007659106141342242,0.29302253964019453,0.047,0.033493297780486514,0.05,0.047000000000001,gated,0.005,0.46576923076923077,0.03423076923076923,-1
0.0632455532033676,0.0,0.2847191488446422,0.302,0.03280274459218578,0.289,0.30200000000000105,gated,0.005,0.46576923076923077,0.03423076923076923,-1
0.2,0.0,0.25265233283450445,0.445,0.027660841592280907,0.419,0.445000000000001,gated,0.005,0.46576923076923077,0.03423076923076923,-1
0.02,0.049311420833829334,0.29187123213103894,0.038,0.035487638206899146,0.03700000000000003,0.038000000000001005,gated,0.005,0.5342307692307693,0.03423076923076923,1
0.0632455532033676,0.0,0.283885510830155,0.286,0.0357405966670551,0.29400000000000004,0.28600000000000103,gated,0.005,0.5342307692307693,0.03423076923076923,1
0.2,0.0,0.2503084901512757,0.429,0.03578413205426241,0.43000000000000005,0.42900000000000105,gated,0.005,0.5342307692307693,0.03423076923076923,1
0.02,0.018481335775588525,0.29395242743016964,0.037,0.0357322673098694,0.041,0.037000000000001004,gated,0.005,0.4633333333333333,0.03666666666666667,-1
