n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
3,0.744,False,0.0264223550274141,1.1145996496201314,0.202389902355897,1,0.2570770574615791,0.031,False,False,gated,64,0.7298022203150942,0.1414478344087481,False,0.3065952494362622
3,0.0002,True,0.2702240249997468,0.6668450366936907,0.7870000000490134,0,0.2702240249997468,0.1979999999999999,True,False,gated,65,0.6605331608283778,0.6737748754135063,True,0.0973655881266481
2,0.3066,False,0.1422353185215426,0.8401501674762615,0.3042958500191057,1,0.2617343451992962,0.049,False,False,gated,66,0.5300746324282665,0.1572411461286027,False,0.2958292123471014
2,0.0002,True,0.2662459298726315,,0.088000160720077,1,0.2662459298726315,0.112,True,False,gated,67,0.379186808855031,0.2286738758293184,False,0.191358651323822
3,0.0002,True,0.2857354926646911,0.030304167529744,0.303,1,0.2857354926646911,0.476,True,False,gated,68,0.2085210176228763,0.4983763774539761,False,0.0304018637744781
2,0.0002,True,0.2695390243590635,,0.0959999999999946,1,0.2695390243590635,0.121,True,False,gated,69,0.8597630752046528,0.2436184439739792,False,0.1768352874834612
2,0.9164,False,0.1436918541994522,0.8186001589361008,0.6869133773032232,0,0.026065679513139,0.018,False,False,gated,70,0.2848008518281665,0.9329435948937824,True,0.3813306444680847
2,0.0002,True,0.2794409808774585,0.0263280831654804,0.250000000100965,1,0.272083835493047,0.418,True,False,gated,71,0.658575639386669,0.4558353296838793,False,0.0956937272737947
2,0.9996,False,0.0072429158676934,,0.6745028716858714,0,0.0072429158676934,0.017,False,False,gated,72,0.4075037895590674,0.0456190825657825,False,0.3755438555257699
3,0.0002,True,0.2928454085753056,0.0422922858717784,0.281,1,0.297544724567117,0.428,True,False,gated,73,0.0359063865213571,0.480245743309629,False,0.0393785704633215
2,0.0002,True,0.2866880759013912,0.034068367099919,0.8124999961069832,0,0.2769210812883791,0.3199999999999999,True,False,gated,74,0.4519692778521093,0.5865886402066559,True,0.0952458840731116
2,0.0002,True,0.1411795889631895,0.8459516474419995,0.6521892155295789,0,0.2606106948326299,0.0939999999999999,True,False,gated,75,0.7450966235603748,0.7876067471020525,True,0.2314040083119909
2,0.0002,True,0.2639016260740071,,0.1119997835516342,1,0.2639016260740071,0.137,True,False,gated,76,0.2143828307730927,0.2754849960097001,False,0.1941195251311568
2,0.0002,True,0.282337527325091,0.0417580382964476,0.1904999189981914,1,0.2705476660464838,0.334,True,False,gated,77,0.0355628266601643,0.4016028403061383,False,0.1046265533976925
2,0.9954,False,0.1378734224089046,0.9210520546136176,0.7080519494896853,0,0.0108848234216507,0.024,False,False,gated,78,0.7822571606888209,0.9284390274903976,True,0.3762287549506402
