manifold,method,model,x1,x2,gated_side,pi_true_max,n_tests,flag,p_min,abstain
clumpy,raw,honest,0.1860732029666068,0.7131147628921821,False,0.016,3,False,0.0976,False
clumpy,raw,honest,0.8061195454457049,0.1543856798060405,True,0.0929999999999999,3,False,0.936,False
clumpy,raw,honest,0.1453842327211629,0.1399003066417648,False,0.013,3,True,0.0054,False
clumpy,raw,honest,0.1784352046936788,0.7087637016335577,False,0.022,3,False,0.2828,False
clumpy,raw,honest,0.7182100806789405,0.8068004781033314,True,0.363,3,False,0.1408,False
clumpy,raw,honest,0.5276097259841933,0.8383104728512712,False,0.267,3,True,0.0138,False
clumpy,raw,honest,0.8725705855953514,0.7858112513481605,True,0.137,3,False,0.9226,False
clumpy,raw,honest,0.8382140093052556,0.7268710385188987,True,0.1939999999999999,3,False,0.4302,False
clumpy,raw,honest,0.4364703690936587,0.3936800360302137,False,0.151,3,True,0.0002,False
clumpy,raw,honest,0.1874084689683825,0.7839435190959487,False,0.011,3,True,0.0008,False
clumpy,raw,honest,0.7543310274065014,0.2138902095805866,True,0.166,3,False,0.5214,False
clumpy,raw,honest,0.4469326126188776,0.956297463600942,False,0.159,3,True,0.015,False
clumpy,raw,honest,0.739202407494528,0.7616649388584069,True,0.3429999999999999,3,False,0.6182,False
clumpy,raw,honest,0.4839038324058024,0.3374541838516385,False,0.281,3,True,0.0002,False
clumpy,raw,honest,0.8018340691845132,0.8098940519843276,True,0.2319999999999999,3,False,0.941,False
clumpy,raw,honest,0.5266632709859862,0.4743645031708845,False,0.286,3,False,0.4372,False
clumpy,raw,honest,0.8820063010644138,0.7438054964863242,True,0.159,3,False,0.7572,False
clumpy,raw,honest,0.8062449086581066,0.7755040710073049,True,0.2219999999999999,3,False,0.96,False
clumpy,raw,honest,0.7452162773890622,0.6886162092046365,True,0.3369999999999999,3,True,0.002,False
clumpy,raw,honest,0.5491616656013443,0.7645383457849986,False,0.308,3,True,0.001,False
clumpy,raw,honest,0.4698367310125474,0.8783937066554598,False,0.184,3,True,0.0058,False
clumpy,raw,honest,0.4226447109339464,0.8780559363554897,False,0.1,3,True,0.0014,False
clumpy,raw,honest,0.8529529297336741,0.2026700437573366,True,0.0799999999999999,3,False,0.9592,False
clumpy,raw,honest,0.7440938920028941,0.2636420570992048,True,0.2329999999999999,3,False,0.985,False
clumpy,raw,honest,0.748413764552439,0.8274616469466713,True,0.3169999999999999,3,False,0.668,False
clumpy,raw,honest,0.2157467754449334,0.8111348176533488,False,0.02,3,True,0.0004,False
clumpy,raw,honest,0.2130018402890821,0.2209575349915123,False,0.021,3,True,0.0002,False
clumpy,raw,honest,0.3901170926128767,0.8164533363934868,False,0.095,3,True,0.0002,False
clumpy,raw,honest,0.4111319461606905,0.800147996649945,False,0.145,3,True,0.0002,False
clumpy,raw,honest,0.2231235355907654,0.2250057185408338,False,0.03,3,True,0.0002,False
clumpy,raw,honest,0.238820041767635,0.7059824176295738,False,0.042,3,False,0.0822,False
clumpy,raw,honest,0.7621435268881667,0.1647076334325335,True,0.125,3,False,0.5164,False
clumpy,raw,honest,0.1905564335870073,0.7724076532228512,False,0.022,3,True,0.0004,False
clumpy,raw,honest,0.4736211092732367,0.5191004504363916,False,0.186,3,False,0.2758,False
clumpy,raw,honest,0.8854594524945577,0.3074712327826147,True,0.1019999999999999,3,False,0.7514,False
clumpy,raw,honest,0.4497215921626705,0.4711179020990339,False,0.179,3,True,0.0002,False
clumpy,raw,honest,0.8194891580772673,0.2447380677101788,True,0.128,3,False,0.9934,False
clumpy,raw,honest,0.4212216163955229,0.8240619330943311,False,0.14,3,True,0.0006,False
clumpy,raw,honest,0.1395284414722346,0.7197101773061092,False,0.015,3,False,0.7688,False
clumpy,raw,honest,0.4865647627402529,0.8412592663383147,False,0.197,3,True,0.002,False
clumpy,raw,honest,0.1783670765693592,0.2076974634847675,False,0.015,3,True,0.0002,False
clumpy,raw,honest,0.1578197124033381,0.1187748376115888,False,0.008,3,False,0.152,False
